Код,Медичний напрям,Захворювання,Область,Больница,Заявник,Спонсор,Фази,Стан,Стать,Вік пацієнтів
FCZ-СR/ВМZР/G/IFNMU-01,Дерматовенерологія,мікробна екзема,Івано-Франківська,"КЗ ""Обласний клiнiчний дерматовенерологічний диспансер"", м. Івано-Франківськ","ТОВ ""ФК ""Здоров'я""",ТОВ Фармацевтична компанія Здоров’я,Інша,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
BI 205.456,"Пульмонологія, Фтізіатрія",Персистуюча бронхіальна астма важкого ступеню,Вінницька | Дніпропетровська | Закарпатська | Запорізька | Київська | Львівська | Львівська | Харківська,"""Дитяча ОКЛ"", м. Вінниця | КЗ ""Дитяча МКЛ №2"", м. Дніпро | Ужгородська дитяча МКЛ, м. Ужгород | КЗ ""Дитяча МКЛ №5"", м. Запоріжжя | ДЗ ""Інститут фтизіатрії і пульмонології імені Ф.Г. Яновського АМН України"", м. Київ | КЗ ""Дитяча МКЛ"", м. Львів | КЗ ""Західноукраїнський спеціалізований дитячий медичний центр"", м. Львів | КЗ ""Дитяча ОКЛ"" , м. Харків","ТОВ ""СанаКліс""","Boehringer Ingelheim RCV GmbH & Co KG, Austria/ Берінгер Інгельхайм РЦВГмбХ енд Ко КГ, Австрія",3,Завершено КВ в Україні,будь-яка,"Малолітні (12-14 років), Неповнолітні (14-18 років), Молодші 18 років"
BC21625,Ендокринологія,цукровий діабет,Дніпропетровська | Донецька | Запорізька | Київська | Київська | Одеська | Одеська | Одеська,"""ОКЛ імені І.І. Мечнікова"", м. Дніпро | ННЛК ""Університетська клініка"" НМУ імені М. Горького, м. Донецьк | Обласний клінічний ендокринологічний диспансер, м. Запоріжжя | ДЗ ""Інститут педіатрії акушерства і гінекології АМН України"", м. Київ | УНПЦ екстреної медичної допомоги та медицини катастроф, м. Київ | ДЗ ""Дорожня лікарня ДП ""Одеська залізниця"", м. Одеса | КЗ ""ОКЛ"", м. Одеса | Університетська клініка ОНМУ, м. Одеса","ТОВ ""Інвентів Хелс Україна""","F. Hoffmann-La Roche Ltd, Switzerland",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
CL3-20098-069,Психіатрія,Великий депресивний розлад,Донецька | Київська | Київська | Київська | Львівська | Харківська,"КЗ ""Обласна клінічна психіатрична лікарня"", м. Донецьк | ДЗ ""Дорожня клінічна лікарня №2 станції Київ ДТГО ""Південно-Західна залізниця"", м. Київ | Психоневрологічна МКЛ №2, м. Київ | Територіальне медичне об’єднання ""Психіатрія"" у м.Києві, м. Київ | КЗ ""Обласна клінічна психіатрична лікарня"", м. Львів | ДЗ ""Інститут неврології, психіатрії і наркології НАМН України"", м. Харків","Інститут міжнародних досліджень Серв’є (I.R.I.S.), Франція","Інститут міжнародних досліджень Серв’є (I.R.I.S.), Франція",3,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
А6141079,Кардіологія,хронічна серцева недостатність ІІ класу,Дніпропетровська | Дніпропетровська | Дніпропетровська | Донецька | Донецька | Закарпатська | Запорізька | Запорізька | Київська | Київська | Київська | Крим | Львівська | Львівська | Одеська | Одеська | Харківська | Харківська,"""ОКЛ імені І.І. Мечнікова"", м. Дніпро | КЗ ""Дніпропетровський обласний клінічний центр кардіології та кардіохірургії""Дніпропетровської обласної ради"", м. Дніпро | КЗ ""МКЛ №9"", м. Дніпро | КЗ ""Центральна МКЛ №1"", м. Донецьк | ННЛК ""Університетська клініка"" НМУ імені М. Горького, м. Донецьк | Закарпатський обласний клінічний кардіологічний диспансер, м. Ужгород | КЗ ""МКЛ №3"", м. Запоріжжя | Медико-санітарна частина ДП “Радіоприлад”, м. Запоріжжя | ДЗ ""ННЦ ""Інститут кардіології імені акад. М.Д. Стражеско НАМН України"", м. Київ | КЗ ""МКЛ №12"", м. Київ | КЗ ""МКЛ №8"", м. Київ | КРУ ""Кардіологічний клінічний диспансер"", м. Севастополь | КЗ ""МКЛ №5"", м. Львів | КЗ ""Обласний кардіологічний центр"", м. Львів | ДЗ ""Дорожня лікарня ДП ""Одеська залізниця"", м. Одеса | Університетська клініка ОНМУ, м. Одеса | КЗ ""МКЛ №27"", м. Харків | КЗ ""МКЛ №8"", м. Харків","Представництво ""Файзер Ейч.Сі.Пі. Корпорейшн""","Pfizer Inc., USA",3,Завершено КВ в Україні,будь-яка,Інший віковий діапазон
NEUGR-003,Онкологія,Рак молочної залози на фоні мієлосупресивної терапії доксорубіцином і доцетакселом,Дніпропетровська | Донецька | Донецька | Закарпатська | Івано-Франківська | Київська | Кіровоградська | Львівська | Одеська | Сумська | Харківська | Харківська | Харківська | Херсонська | Хмельницька | Чернигівська | Чернівецька,"""Міська багатопрофільна лікарня №4"", м. Дніпро | КЗ ""Міський міжрайонний онкологічний диспансер"", м. Маріуполь | ККЗ ""Донецький обласний протипухлинний центр"", м. Донецьк | Закарпатський обласний клінічний онкологічний диспансер, м. Ужгород | КЗ ""Обласний клінічний онкологічний диспансер"", м. Івано-Франківськ | Київський міський клінічний онкологічний центр, м. Київ | КЗ ""Обласний онкологічний диспансер"", м. Кропивницький | КЗ ""Обласний онкологічний центр"", м. Львів | КЗ ""ОКЛ"", м. Одеса | КЗ ""Обласний клінічний онкологічний диспансер"", м. Суми | ДЗ ""Інститут медичної радіології імені С.П.Григор'єва НАМН України"", м. Харків | КЗ ""Обласний клінічний онкологічний центр"", м. Харків | КЗ ""Обласний клінічний онкологічний центр"", м. Харків | КЗ ""Обласний онкологічний диспансер"", м. Херсон | КЗ ""Обласний онкологічний диспансер"", м. Хмельницький | КЗ ""Обласний онкологічний диспансер"", м. Чернігів | КЗ ""Обласний клінічний онкологічний диспансер"", м. Чернівці","ТОВ ""Пі Ес Ай-Україна""","Teva Pharmaceutical Industries Ltd., Ізраїль",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
CC-5013-MM-010,Онкологія,Множинна мієлома,Вінницька | Дніпропетровська | Житомирська | Київська | Київська | Київська | Львівська | Черкаська,"""МКЛ №1"", м. Вінниця | ""Міська багатопрофільна лікарня №4"", м. Дніпро | КЗ ""ОКЛ імені О.Ф. Гербачевського"", м. Житомир | ДЗ ""Інститут гематології і трансфузіології АМН України"", м. Київ | КЗ ""ОКЛ"", м. Київ | Міський центр пересадки кісткового мозку, м. Київ | ДЗ ""Інститут патології крові та трансфузійної медицини АМН України"", м. Львів | КЗ ""Обласний онкологічний диспансер"", м. Черкаси","ТОВ ""Пі Ес Ай-Україна""",Celgene Corporation,3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
13267B,Психіатрія,великий депресивний розлад,Вінницька | Дніпропетровська | Донецька | Київська | Київська | Київська | Крим | Полтавська | Харківська | Харківська | Херсонська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | КЗ ""Клінічна психіатрична лікарня"", м. Дніпро | КЗ ""Обласна клінічна психіатрична лікарня"", м. Донецьк | КЗ КОР ""Обласне психіатрично-наркологічне медичне об’єднання"", Київська область, смт. Глеваха, м. Київ | Психоневрологічна МКЛ №2, м. Київ | Територіальне медичне об’єднання ""Психіатрія"" у м.Києві, м. Київ | КРУ ""Клінічна психіатрична лікарня №1"", м. Сімферополь | КЗ ""Обласна клінічна психіатрична лікарня"", м. Полтава | ДЗ ""Інститут неврології, психіатрії і наркології НАМН України"", м. Харків | КЗ ""Обласна клінічна психіатрична лікарня №3"", м. Харків | КЗ ""Обласна психіатрична лікарня"", м. Херсон","ПІІ ""Квінтайлс Україна""","H. Lundbeck A/S (Х. Лундбек А/С), Данія",3,Завершено КВ в Україні,чоловіча,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
NI-0401-04,Ендокринологія,цукровий діабет 1 типу.,Київська | Київська | Крим | Харківська,"ДЗ ""Інститут ендокринології та обміну речовин імені В.П. Комісаренка АМН України"", м. Київ | УНПЦ екстреної медичної допомоги та медицини катастроф, м. Київ | КРУ ""Клінічна лікарня імені М.О. Семашка"", м. Сімферополь | ДЗ ""Інститут проблем ендокринної патології ім. В. Я. Данілевського НАМН України, м. Харків","ТОВ ""Прудентас""",Abbott Laboratories (Abbott)/Абботт Лабораторіз (Абботт),2,Завершено КВ в Україні,будь-яка,"Малолітні (12-14 років), Неповнолітні (14-18 років), Дорослі (18-65 років), Молодші 18 років"
NC25608,Кардіологія,"Серцево-судинні захворювання: пацієнти з серцево-судинним захворюванням або такі, що мають підвищений ризик розвитку серцево-судинного захворювання.",Вінницька | Вінницька | Волинська | Дніпропетровська | Закарпатська | Запорізька | Запорізька | Запорізька | Київська | Київська | Київська | Київська | Львівська | Миколаївська | Одеська | Одеська | Одеська | Тернопільська | Харківська | Харківська | Харківська | Харківська | Харківська | Черкаська,"""ОКЛ ім. М.І. Пирогова"", м. Вінниця | КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | КЗ ""Луцька МКЛ"", м. Луцьк | КЗ ""Клінічне об'єднання швидкої медичної допомоги"", м. Дніпро | Закарпатський обласний клінічний кардіологічний диспансер, м. Ужгород | КЗ ""МКЛ №6"", м. Запоріжжя | КЗ ""МКЛ №6"", м. Запоріжжя | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | ДЗ ""ННЦ ""Інститут кардіології імені акад. М.Д. Стражеско НАМН України"", м. Київ | ДЗ ""ННЦ радіаційної медицини НАМН України"", м. Київ | КЗ ""МКЛ №1"", м. Київ | Лікарня для вчених НАН України, м. Київ | КЗ ""МКЛ №8"", м. Львів | КЗ ""МКЛ"", м. Миколаїв | МЦ ОНМУ, м. Одеса | КЗ ""ОКЛ"", м. Одеса | Університетська клініка ОНМУ, м. Одеса | КЗ ""Університетська лікарня"", м. Тернопіль | ДЗ ""Інститут неврології, психіатрії і наркології НАМН України"", м. Харків | ДЗ ""Національний інститут терапії імені Л.Т. Малої НАМН України"", м. Харків | КЗ ""МКЛ №27"", м. Харків | КЗ ""МКЛ №8"", м. Харків | ДЛПЗ ""Центральна клінічна лікарня Укрзалізниці"", м. Харків | КЗ ""Обласний кардіологічний центр"", м. Черкаси","ПІІ ""Квінтайлс Україна""","F. Hoffmann-La Roche Ltd, Switzerland",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
CS8635-A-E302,Кардіологія,"Лікування гіпертонії середнього чи важкого ступеню, яка належним чином не контролюється за допомогою олмесартану медоксомілу та амлодипіну бесілату",Вінницька | Волинська | Дніпропетровська | Дніпропетровська | Донецька | Житомирська | Запорізька | Київська | Київська | Київська | Київська | Київська | Київська | Київська | Львівська | Львівська | Одеська | Харківська | Харківська | Харківська | Харківська,"Обласний спеціалізований клінічний диспансер радіаційного захисту населення, м. Вінниця | КЗ ""Луцька МКЛ"", м. Луцьк | КЗ ""Клінічне об'єднання швидкої медичної допомоги"", м. Дніпро | КЗ ""МКЛ №7"", м. Дніпро | КЗ ""Центральна МКЛ №1"", м. Донецьк | КЗ ""ОКЛ імені О.Ф. Гербачевського"", м. Житомир | КЗ ""МКЛ №7"", м. Запоріжжя | ДЗ ""Інститут геронтології ім. Д.Ф. Чеботарьова НАМН України"", м. Київ | ДЗ ""ННЦ ""Інститут кардіології імені акад. М.Д. Стражеско НАМН України"", м. Київ | ДЗ ""Республіканська клінічна лікарня МОЗ України"", м. Київ | КЗ ""МКЛ №1"", м. Київ | КЗ ""МКЛ швидкої медичної допомоги, м. Київ | КНП ""КДЦ"" Деснянського району м. Києва, м. Київ | КНП ""Центр первинної медико - санітарної допомоги №2"" Шевченківського району міста Києва, м. Київ | КЗ ""МКЛ №5"", м. Львів | КЗ ""Обласний кардіологічний центр"", м. Львів | Університетська клініка ОНМУ, м. Одеса | ДЗ ""Національний інститут терапії імені Л.Т. Малої НАМН України"", м. Харків | КЗ ""МКЛ №8"", м. Харків | КЗ ""МКЛ швидкої та невідкладної медичної допомоги імені О.І. Мещанінова"", м. Харків | ДЛПЗ ""Центральна клінічна лікарня Укрзалізниці"", м. Харків","Представництво ""МДС Фарма Сервіс Франс""",Daiichi Sankyo Company,3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
ART-CAS,Здорові добровольці,Здорові добровольці,Київська | Харківська,"БЛ ТОВ ""КЛІНФАРМ"", м. Ірпінь | ННМК ""Університетська клініка"" НМУ, м. Харків","ПАТ ""Київмедпрепарат""","ВАТ Київмедпрепарат, Україна",Інша,Завершено КВ в Україні,-,Дорослі (18-65 років)
COL-1620-302,"Акушерство, Гінекологія",-,Дніпропетровська | Донецька | Івано-Франківська | Київська | Київська,"КЗ ""Міський пологовий будинок №1"", м. Дніпро | КЗ ""Центральна МКЛ №6"", м. Донецьк | КЗ ""Міський клінічний пологовий будинок"", м. Івано-Франківськ | КЗ ""МКЛ №1"", м. Київ | КНП ""КДЦ"", м. Київ",Уповноважена Спонсором особа,"Columbia Laboratories, Inc",3,Розпочато КВ в Україні,жіноча,Дорослі (18-65 років)
14V-MC-JADA(b),Ревматологія,Активний ревматоїдний артрит,Вінницька | Київська | Київська | Київська | Крим | Тернопільська,"""ОКЛ ім. М.І. Пирогова"", м. Вінниця | ДЗ ""ННЦ ""Інститут кардіології імені акад. М.Д. Стражеско НАМН України"", м. Київ | КНП ""Центр первинної медико - санітарної допомоги №2"" Шевченківського району міста Києва, м. Київ | Олександрівська клінічна лікарня, м. Київ | КРУ ""Клінічна лікарня імені М.О. Семашка"", м. Сімферополь | КЗ ""Університетська лікарня"", м. Тернопіль","ТОВ ""Парексел Україна""","Елі Ліллі енд Кампені (Eli Lilly and Company), США",2,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
105-MS-301,Неврологія,Рецидивуючий множинний склероз,Вінницька | Дніпропетровська | Дніпропетровська | Донецька | Київська | Київська | Крим | Одеська | Полтавська | Тернопільська | Харківська | Харківська | Чернівецька,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | ДЗ ""Український ДНДІМСЦПІ МОЗ України"", м. Дніпро | МЦ Дніпропетровської державної медичної академії, м. Дніпро | КЗ ""Донецьке обласне клінічне териториільне медичне об`єднання, м. Донецьк | КЗ ""МКЛ №4"", м. Київ | КЗ ""ОКЛ"", м. Київ | КРУ ""Клінічна лікарня імені М.О. Семашка"", м. Сімферополь | КЗ ""ОКЛ"", м. Одеса | КЗ ""ОКЛ"", м. Полтава | КЗ ""Обласна клінічна психоневрологічна лікарня"", м. Тернопіль | ДЗ ""Інститут неврології, психіатрії і наркології НАМН України"", м. Харків | ДЛПЗ ""Центральна клінічна лікарня Укрзалізниці"", м. Харків | КЗ ""Обласна психіатрична лікарня"", м. Чернівці","ТОВ ""КДО ІнноФарм-Україна""",Biogen Idec Ltd. (Біоген Айдек Лтд),3,Завершено КВ в Україні,будь-яка,Інший віковий діапазон
AN-CVD2233,Кардіологія,"Гострий коронарний синдром ( нестабільна стенокардія, інфаркт міокарду без підйому сегмента ST або інфаркт міокарду з підйомом сегменту ST).",Дніпропетровська | Запорізька | Івано-Франківська | Київська | Київська | Київська | Львівська | Одеська | Одеська | Полтавська | Харківська | Харківська | Харківська | Харківська,"КЗ ""Клінічне об'єднання швидкої медичної допомоги"", м. Дніпро | КЗ ""Обласний медичний центр серцево-судинних захворювань"" Запорізької обласної ради, м. Запоріжжя | КЗ ""Обласний клiнiчний кардіологічний диспансер"", м. Івано-Франківськ | ДЗ ""ННЦ ""Інститут кардіології імені акад. М.Д. Стражеско НАМН України"", м. Київ | КЗ ""МКЛ №1"", м. Київ | КЗ ""МКЛ швидкої медичної допомоги, м. Київ | КЗ ""Обласний кардіологічний центр"", м. Львів | КЗ ""ОКЛ"", м. Одеса | КЗ ""МКЛ №3"", м. Одеса | КЗ ""Обласний клінічний кардіологічний диспансер"", м. Полтава | ДЗ ""Національний інститут терапії імені Л.Т. Малої НАМН України"", м. Харків | КЗ ""МКЛ №27"", м. Харків | КЗ ""МКЛ швидкої та невідкладної медичної допомоги імені О.І. Мещанінова"", м. Харків | ДЛПЗ ""Центральна клінічна лікарня Укрзалізниці"", м. Харків","ТОВ ""Ворлдвайд Клінікал Траілс Укр""","Антера Фармасьютікалс, Інк., CША / Anthera Pharmaceuticals, Inc. USA",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
A3921095,Гастроентерологія,неспецифічний виразковий коліт середнього та тяжкого ступеня,Вінницька | Дніпропетровська | Донецька | Запорізька | Київська | Одеська | Харківська | Чернівецька,"МЦ ТОВ ""Хелс Клінік"", Медичний клінічний дослідницький центр, м. Вінниця | ДЗ ""Інститут гастроентерології НАМН України"", м. Дніпро | КЗ ""ОКЛ профзахворювань"", м. Донецьк | КЗ ""МКЛ №7"", м. Запоріжжя | КЗ ""МКЛ №8"", м. Київ | КЗ ""ОКЛ"", м. Одеса | КЗ ""МКЛ №2"", м. Харків | КЗ ""ОКЛ"", м. Чернівці","ТОВ ""Клінічні дослідження Айкон""","Pfizer Inc., USA",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
L00070 IN 303 B0,Онкологія,рецидивний або метастатичний нерезектабельний рак молочної залози,Вінницька | Дніпропетровська | Донецька | Закарпатська | Крим | Харківська | Хмельницька | Чернигівська | Чернівецька,"Обласний клінічний онкологічний диспансер, м. Вінниця | КЗ ""Клінічний онкологічний диспансер"", м. Дніпро | ККЗ ""Донецький обласний протипухлинний центр"", м. Донецьк | Ужгородська центральна МКЛ, м. Ужгород | КРУ ""Онкологічний клінічний диспансер"", м. Севастополь | ДЗ ""Інститут медичної радіології імені С.П.Григор'єва НАМН України"", м. Харків | КЗ ""Обласний онкологічний диспансер"", м. Хмельницький | КЗ ""Обласний онкологічний диспансер"", м. Чернігів | КЗ ""Обласний клінічний онкологічний диспансер"", м. Чернівці","ТОВ ""Парексел Україна""","П'єр Фабре Медікамент, Франція",3,Завершено КВ в Україні,будь-яка,Літнього віку (старші 65 років)
А9391010,Ревматологія,РЕВМАТОЇДНИЙ АРТРИТ,Вінницька | Донецька | Запорізька | Київська | Київська | Львівська | Одеська | Одеська | Чернівецька,"""ОКЛ ім. М.І. Пирогова"", м. Вінниця | КЗ ""МКЛ №5"", м. Донецьк | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | ДЗ ""ННЦ ""Інститут кардіології імені акад. М.Д. Стражеско НАМН України"", м. Київ | КЗ ""ОКЛ"", м. Київ | КЗ ""Обласний клінічний діагностичний центр"", м. Львів | КЗ ""МКЛ №9"", м. Одеса | КЗ ""ОКЛ"", м. Одеса | КЗ ""МКЛ №3"", м. Чернівці","ТОВ ""Парексел Україна""","Pfizer Inc., USA",2,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
М12-033,Неврологія,Хвороба Альцгеймера легкого та середнього ступеня тяжкості,Вінницька | Дніпропетровська | Донецька | Київська | Київська | Крим | Луганська | Львівська | Полтавська | Полтавська | Тернопільська | Харківська | Херсонська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | ДЗ ""Український ДНДІМСЦПІ МОЗ України"", м. Дніпро | КЗ ""Донецьке обласне клінічне териториільне медичне об`єднання, м. Донецьк | ДЗ ""Інститут геронтології ім. Д.Ф. Чеботарьова НАМН України"", м. Київ | ДЗ ""ННЦ радіаційної медицини НАМН України"", м. Київ | КРУ ""Клінічна психіатрична лікарня №1"", м. Сімферополь | КЗ ""Обласна клінічна психоневрологічна лікарня"", м. Луганськ | КЗ ""ОКЛ"", м. Львів | КЗ ""ОКЛ"", м. Полтава | КЗ ""Обласна клінічна психіатрична лікарня"", м. Полтава | КЗ ""Обласна клінічна психоневрологічна лікарня"", м. Тернопіль | КЗ ""Обласна клінічна психіатрична лікарня №3"", м. Харків | КЗ ""Обласна психіатрична лікарня"", м. Херсон","Abbot Laboratories GmbH, Germany",Abbott Laboratories (Abbott)/Абботт Лабораторіз (Абботт),2,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років), Інший віковий діапазон"
CQMF149E2201,Пульмонологія,Бронхіальна астма,Вінницька | Вінницька | Вінницька | Дніпропетровська | Дніпропетровська | Донецька | Донецька | Закарпатська | Івано-Франківська | Київська | Київська | Київська | Київська | Полтавська | Харківська | Харківська,"""МКЛ №1"", м. Вінниця | Клініка Науково-дослідного інституту реабілітації інвалідів, м. Вінниця | МЦ ТОВ ""Хелс Клінік"", Медичний клінічний дослідницький центр, м. Вінниця | КЗ ""МКЛ №6"", м. Дніпро | КЗ ""МКЛ №7"", м. Дніпро | КЗ ""Дитяча ОКЛ"", м. Донецьк | КЗ ""Донецьке обласне клінічне териториільне медичне об`єднання, м. Донецьк | ДЗ ""НПМЦ ""Реабілітація"" МОЗ України, м. Ужгород | КЗ ""Обласний фтизіопульмонологічний центр"", м. Івано-Франківськ | ДЗ ""Інститут педіатрії акушерства і гінекології АМН України"", м. Київ | ДЗ ""Інститут фтизіатрії і пульмонології імені Ф.Г. Яновського АМН України"", м. Київ | ДЗ ""ННЦ радіаційної медицини НАМН України"", м. Київ | КНП ""Центр первинної медико - санітарної допомоги №2"" Шевченківського району міста Києва, м. Київ | КЗ ""МКЛ №1"", м. Полтава | ДЗ ""Національний інститут терапії імені Л.Т. Малої НАМН України"", м. Харків | КЗ ""МКЛ №13"", м. Харків","ПІІ ""Квінтайлс Україна""",Novartis Pharmaceuticals Corporation,2,Завершено КВ в Україні,будь-яка,"Малолітні (12-14 років), Неповнолітні (14-18 років), Дорослі (18-65 років), Літнього віку (старші 65 років), Молодші 18 років"
SYR-322MET_302,Ендокринологія,Цукровий діабет 2 типу,Вінницька | Дніпропетровська | Донецька | Запорізька | Івано-Франківська | Київська | Київська | Київська | Львівська | Одеська | Харківська | Харківська | Харківська,"""МКЛ №1"", м. Вінниця | КЗ ""МКЛ №9"", м. Дніпро | КЗ ""ОКЛ профзахворювань"", м. Донецьк | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | КЗ ""ОКЛ"", м. Івано-Франківськ | ДАХК ""Артем"", м. Київ | ДЗ ""ННЦ радіаційної медицини НАМН України"", м. Київ | КНП ""Центр первинної медико - санітарної допомоги №2"" Шевченківського району міста Києва, м. Київ | КЗ ""МКЛ №5"", м. Львів | ДЗ ""Дорожня лікарня ДП ""Одеська залізниця"", м. Одеса | КЗ ""МКЛ №17"", м. Харків | КЗ ""МКЛ швидкої та невідкладної медичної допомоги імені О.І. Мещанінова"", м. Харків | ДЛПЗ ""Центральна клінічна лікарня Укрзалізниці"", м. Харків","ТОВ ""КДО ІнноФарм-Україна""",Takeda Global Research and Development Centre (Europe),3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років), Інший віковий діапазон"
E5501-G000-302,Гематологія,Хронічна імунна тромбоцитопенія (ідіопатична тромбоцитопенічна пурпура),Дніпропетровська | Донецька | Київська | Київська | Львівська,"""Міська багатопрофільна лікарня №4"", м. Дніпро | ДЗ ""Інститут невідкладної і відновної хірургії імені В.К. Гусака НАМН України"", м. Донецьк | КЗ ""МКЛ №9"", м. Київ | КЗ ""ОКЛ"", м. Київ | ДЗ ""Інститут патології крові та трансфузійної медицини АМН України"", м. Львів","ПІІ ""Квінтайлс Україна""","Eisai Ltd (Ісаі Лімітед, Великобританія)",3,Завершено КВ в Україні,будь-яка,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
OAS-07OVA,Онкологія,"Пацієнти з рецидивуючим епітеліальним раком яєчників, первинним перитоніальним раком або раком фаллопієвих труб.",Дніпропетровська | Дніпропетровська | Дніпропетровська | Донецька | Івано-Франківська | Київська | Київська | Київська | Крим | Одеська | Сумська | Тернопільська | Харківська | Харківська | Херсонська | Черкаська | Чернівецька,"""Міська багатопрофільна лікарня №4"", м. Дніпро | КЗ ""Онкологічний диспансер"", м. Кривий Ріг | КЗ ""МКЛ №19"", м. Дніпро | Комунальний ЛПЗ ""Донецький обласний ппотипухлинний центр"", м. Донецьк | КЗ ""Обласний клінічний онкологічний диспансер"", м. Івано-Франківськ | КЗКОР ""Київський обласний онкологічний диспансер"", м. Київ | Київський міський клінічний онкологічний центр, м. Київ | Національний інститут раку, м. Київ | КРУ ""Онкологічний клінічний диспансер"", м. Севастополь | КЗ ""Обласний онкологічний диспансер"", м. Одеса | КЗ ""Обласний клінічний онкологічний диспансер"", м. Суми | КЗ ""Обласний клінічний онкологічний диспансер"", м. Тернопіль | ДЗ ""Інститут медичної радіології імені С.П.Григор'єва НАМН України"", м. Харків | КЗ ""Обласний клінічний онкологічний центр"", м. Харків | КЗ ""Обласний онкологічний диспансер"", м. Херсон | КЗ ""Обласний онкологічний диспансер"", м. Черкаси | КЗ ""Обласний клінічний онкологічний диспансер"", м. Чернівці","ТОВ ""ОСТ Україна""","Оазмія Фармасьютікал ЕйБі, Швеція",3,Завершено КВ в Україні,жіноча,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
H9B-MC-BCDJ,Неврологія,рецидивуюче-ремітуючий розсіяний склероз,Вінницька | Дніпропетровська | Донецька | Запорізька | Івано-Франківська | Львівська | Одеська | Харківська,"КЗ ""Обласна психоневрологічна лікарня імені акад О.І.Ющенко"", м. Вінниця | ДЗ ""Український ДНДІМСЦПІ МОЗ України"", м. Дніпро | КЗ ""Донецьке обласне клінічне териториільне медичне об`єднання, м. Донецьк | КЗ ""ОКЛ"" ЗОР, м. Запоріжжя | КЗ ""ОКЛ"", м. Івано-Франківськ | КЗ ""ОКЛ"", м. Львів | КЗ ""ОКЛ"", м. Одеса | ДЗ ""Інститут неврології, психіатрії і наркології НАМН України"", м. Харків","ПІІ ""Квінтайлс Україна""","Елі Ліллі енд Кампені (Eli Lilly and Company), США",2,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
D6997C00002 (9238IL/0064),Онкологія,женщины в менопаузе с распостраненным раком молочной железы с наличием рецепторов к эстрогену у которых болезнь прогресирует на фоне первичной гормональной терапии или возникает рецедив во время проведения адьювантной гормональной терапии.,Дніпропетровська | Донецька | Закарпатська | Київська | Львівська | Сумська | Тернопільська | Черкаська,"""Міська багатопрофільна лікарня №4"", м. Дніпро | ККЗ ""Донецький обласний протипухлинний центр"", м. Донецьк | Ужгородська центральна МКЛ, м. Ужгород | Національний інститут раку, м. Київ | КЗ ""Обласний онкологічний центр"", м. Львів | КЗ ""Обласний клінічний онкологічний диспансер"", м. Суми | КЗ ""Обласний клінічний онкологічний диспансер"", м. Тернопіль | КЗ ""Обласний онкологічний диспансер"", м. Черкаси","ПІІ ""Квінтайлс Україна""","AstraZeneca AB (АстраЗенека АБ), Sweden",3,Розпочато КВ в Україні,жіноча,"Дорослі (18-65 років), Літнього віку (старші 65 років)"
INSULAR-02,Ендокринологія,цукровий діабет 2 типу,Київська | Харківська,"ДЗ ""Інститут ендокринології та обміну речовин імені В.П. Комісаренка АМН України"", м. Київ | ДЗ ""Інститут проблем ендокринної патології ім. В. Я. Данілевського НАМН України, м. Харків","ПАТ ""Київмедпрепарат""","ВАТ Київмедпрепарат, Україна",Інша,Завершено КВ в Україні,будь-яка,Дорослі (18-65 років)
